query_id	labels	specificity
294	2694 736	0.0002082
295	8	0.137973
296	106	0.0203896
297	2961	0.0018248
298	945 6	0.0002549
299	3924 29	0.0003069
300	5926 843	3.37e-05
301	6653 18	0.0002084
302	8668 8617	0.0007271
303	103	0.0137207
304	69754	9.8e-06
305	8087 89	0.0002962
306	0	0.0097939
307	4	0.113336
308	8408 6503	3.53e-05
309	28	0.0705726
310	9716	2.5e-05
311	38	0.0296922
312	54407	0.0002608
313	8230 2192	0.0007861
314	100	0.0508944
315	2620 10	0.0001159
316	90	0.0180512
317	34520	1.03e-05
318	418 16	0.0002207
319	8921 6	5.96e-05
320	6024	0.0029095
321	1511	0.001569
322	2169	0.0047348
323	1634	0.0053064
324	93	0.0154208
325	1268 762	0.0002228
326	2294	0.0008696
327	1640	0.0033064
328	38	0.0296922
329	3734 1004	0.0001548
330	4	0.113336
331	100	0.0508944
332	1624	0.0023061
333	2064 425	0.0011594
334	8653 7142	0.0001917
335	7966 6274	3.72e-05
336	95	0.0110695
337	4324 3119	0.0001565
338	44507	1.13e-05
339	3071	0.0022228
340	8654 8614	0.0008193
341	2094	0.0018301
342	346	0.0037554
343	17988 9	6.52e-05
344	90	0.0180512
345	35	0.0368312
346	750	0.0044588
347	884 40	0.0006327
348	106	0.0203896
349	60481	1.74e-05
350	2914 3	0.000101
351	89	0.170741
352	3708 14	5.12e-05
353	932	0.0053541
354	5692 2	5.43e-05
355	42648 8627	3.54e-05
356	2737 904	2.84e-05
357	106	0.0203896
358	12	0.0648527
359	28827 17	3.01e-05
360	91	0.0236403
361	7851 1992	2.12e-05
362	2615	0.0027337
363	9386 876	4.58e-05
364	8830 2	0.0001448
365	89	0.170741
366	1	0.0266844
367	5494 9	0.0003326
368	1	0.0266844
369	8	0.137973
370	6207	0.001859
371	21	0.0688177
372	1540 654	0.0003396
373	9	0.131031
374	2242 349	0.0004625
375	8665 2194	0.0008029
376	5568	0.0004091
377	3192 140	0.0021192
378	4904	0.0006345
379	26	0.0073
380	35	0.0368312
381	1617 23	0.0011467
382	6303 89	0.0001279
383	12056	0.0001678
384	0	0.0097939
385	3197	0.0026361
386	55734 1989	2.9e-05
387	90	0.0180512
388	22974 23	2.29e-05
389	2703 18	7.68e-05
390	1544 4	0.0001725
391	35	0.0368312
392	2	0.0581971
393	822 89	0.0012792
394	79174 8614	1.75e-05
395	38	0.0296922
396	1985	0.0055809
397	6173 9	0.0001729
398	106	0.0203896
399	8660 5537	0.0006862
400	38	0.0296922
401	1022	0.0029019
402	7097	0.0013236
403	6562	0.002253
404	558 15	0.0003216
405	2651 616	0.0001882
406	8	0.137973
407	15351	6.86e-05
408	2104 21	0.000244
409	2929 753	0.0005578
410	40	0.0081678
411	1409	0.0031651
412	28351	1.77e-05
413	28	0.0705726
414	31501	9.4e-06
415	2776 1122	0.0007564
416	8801 6547	2.07e-05
417	7263	0.0023828
418	6	0.12844
419	590 6	0.0004953
420	90	0.0180512
421	1288 529	4.09e-05
422	8	0.137973
423	22791 21477	5.13e-05
424	28	0.0705726
425	7058 1472	2.52e-05
426	26	0.0073
427	7335 2063	0.0006784
428	4216 2314	0.0011307
429	49072	1.22e-05
430	337	0.0063807
431	40	0.0081678
432	4505 22	0.0001752
433	2435 23	0.0014147
434	1268 8	0.0007053
435	348	0.006714
436	7808	0.0023745
437	8031 4	0.0002541
438	7924 354	0.0001146
439	8614	0.0008725
440	2849	0.0022708
441	392 3	0.0004835
442	90	0.0180512
443	604	0.0040371
444	8194 16	2.36e-05
445	4335	0.0005255
446	17	0.0991156
447	13734 762	2.59e-05
448	99151	1.7e-05
449	108366	1.24e-05
450	14714	0.0002909
451	138594	1.58e-05
452	10916 7213	3.9e-05
453	8596	4.84e-05
454	2658 2325	4.41e-05
455	10805 1824	2.59e-05
456	6585 29	0.0001774
457	7405 3027	9.51e-05
458	17647	0.0001633
459	95	0.0110695
460	91	0.0236403
461	106	0.0203896
462	2289 2012	4.69e-05
463	16877 5243	6.14e-05
464	95	0.0110695
465	29996	0.0001111
466	1549 89	0.0007028
467	5214 29	0.000879
468	2335	0.0027591
469	1409	0.0031651
470	337	0.0063807
471	4256	0.0014313
472	11142 7358	2.32e-05
473	31259	2.3e-05
474	17	0.0991156
475	6001 5697	1.55e-05
476	17	0.0991156
477	89	0.170741
478	932	0.0053541
479	1625 4	0.0002402
480	95	0.0110695
481	569 8	3.07e-05
482	8	0.137973
483	500	0.0015577
484	345	0.034881
485	2	0.0581971
486	30214 23	3.61e-05
487	515	0.0058954
488	17040 100	0.0001389
489	7058 2351	3.31e-05
490	90	0.0180512
491	7189 7004	0.0001814
492	100	0.0508944
493	1538 931	0.000182
494	2148 11	0.0001164
495	914	0.000392
496	348	0.006714
497	27148	0.0001415
498	703 13	0.0002306
499	5085 2195	0.0006746
500	3156 18	0.0003088
501	8	0.137973
502	21140	0.0001591
503	31051	9.95e-05
504	93	0.0154208
505	2322 902	0.0001448
506	2776 23	0.0003793
507	336	0.0145691
508	515	0.0058954
509	2	0.0581971
510	5507	0.0018766
511	89	0.170741
512	8675	0.0003912
513	95	0.0110695
514	17	0.0991156
515	90	0.0180512
516	5085 4615	0.0008098
517	95	0.0110695
518	1553 7	0.0001815
519	7215 2212	0.0008269
520	1	0.0266844
521	106	0.0203896
522	97210	1.25e-05
523	60815	1.84e-05
524	40	0.0081678
525	5701 3406	0.0001797
526	336	0.0145691
527	10507 8672	0.0001109
528	2765 7	0.0003978
529	46575 39842	9.3e-05
530	6040	0.0021363
531	4	0.113336
532	648 19	0.0003721
533	35	0.0368312
534	103	0.0137207
535	15495	0.0003921
536	35	0.0368312
537	5692	0.0023219
538	11532 1175	6.71e-05
539	1393	0.0050329
540	6	0.12844
541	8202 468	0.0008624
542	26	0.0073
543	8646 7058	0.0008569
544	12971	0.0002202
545	91	0.0236403
546	16	0.0909268
547	810	0.0042889
548	93	0.0154208
549	2094	0.0018301
550	348	0.006714
551	3112 1175	6.09e-05
552	35	0.0368312
553	490 2	0.00023
554	26	0.0073
555	13426 6310	2.19e-05
556	106	0.0203896
557	28	0.0705726
558	106	0.0203896
559	4974	0.0014168
560	928	0.0033679
561	5926	0.0024992
562	2	0.0581971
563	1611 3	0.0003334
564	79512 4928	2.64e-05
565	2	0.0581971
566	33904	2.05e-05
567	5898 2493	4.92e-05
568	593 115	0.0017644
569	35	0.0368312
570	15734 1318	2.1e-05
571	71522	1e-05
572	4008 1478	4.27e-05
573	6216	1.42e-05
574	26	0.0073
575	650 639	0.0001694
576	5744 2276	2.53e-05
577	1360 827	5.35e-05
578	6907 552	3.19e-05
579	3978 1443	0.0002918
580	64675	1.16e-05
581	2819 13	0.0001272
582	37780 6	2.19e-05
583	6097 1337	2.66e-05
584	93	0.0154208
585	2	0.0581971
586	2289	0.0019961
587	26	0.0073
588	3295 19	0.0001935
589	5	0.123527
590	93	0.0154208
591	12015 89	0.0002689
592	1617 17	0.000235
593	2380 414	0.0001007
594	9209 3614	8.96e-05
595	8648 4678	9.76e-05
596	1926	0.0032391
597	876 38	9.17e-05
598	6603	0.0022847
599	72739 70740	6.39e-05
600	4	0.113336
601	91	0.0236403
602	0	0.0097939
603	113	0.0071253
604	103	0.0137207
605	12113 7826	0.0002113
606	2	0.0581971
607	106	0.0203896
608	50404	1.57e-05
609	14035 7	5.06e-05
610	1540	0.0050845
611	9888 7189	6.12e-05
612	635 89	0.0011171
613	2	0.0581971
614	2072 23	0.0015229
615	90	0.0180512
616	659	0.0034072
617	7828 4	7.55e-05
618	7965	0.0012421
619	4	0.113336
620	26	0.0073
621	4318 3805	8.11e-05
622	28	0.0705726
623	26	0.0073
624	103	0.0137207
625	7529 23	0.0001667
626	95	0.0110695
627	100	0.0508944
628	3080 1268	0.0002242
629	107	0.0105398
630	359	0.0031224
631	95	0.0110695
632	7785 28	4.92e-05
633	1714	1.05e-05
634	1564	0.0021351
635	2072 9	0.0005044
636	3517 1391	4.52e-05
637	142	0.0086892
638	18207 8230	2.09e-05
639	10177 1027	5.1e-05
640	8670 29	0.0006896
641	22826	1.51e-05
642	1820 1372	2.64e-05
643	93	0.0154208
644	33	0.034613
645	1347 93	0.0001167
646	876	0.0023821
647	106	0.0203896
648	38	0.0296922
649	100	0.0508944
650	19	0.0869037
651	9236	7.09e-05
652	129742	8.8e-06
653	20904 902	4.99e-05
654	1305 14	0.0003523
655	9143 8883	4.69e-05
656	35	0.0368312
657	106	0.0203896
658	107	0.0105398
659	8	0.137973
660	4558 1127	2.22e-05
661	6562	0.002253
662	0	0.0097939
663	16	0.0909268
664	95	0.0110695
665	9119 6036	3.22e-05
666	17076 1540	3.92e-05
667	17	0.0991156
668	17	0.0991156
669	2623	0.0026859
670	404 35	4.56e-05
671	337	0.0063807
672	822 89	0.0012792
673	12001 1828	4.42e-05
674	6376 410	5.54e-05
675	54050 15549	0.000118
676	13969 7	0.0001852
677	522	0.0036472
678	1027 23	0.0015437
679	38	0.0296922
680	112355	1.45e-05
681	19	0.0869037
682	91	0.0236403
683	52354 29	7.45e-05
684	5	0.123527
685	11060 8638	3.32e-05
686	6847 4604	1.36e-05
687	42	0.0085986
688	8	0.137973
689	100	0.0508944
690	12732 4590	0.0001882
691	35	0.0368312
692	1	0.0266844
693	103	0.0137207
694	13216 2065	2.92e-05
695	2982 7	0.0006575
696	35	0.0368312
697	2	0.0581971
698	15568 7405	6.26e-05
699	31270	2.12e-05
700	38	0.0296922
701	6269 1904	4.43e-05
702	35	0.0368312
703	787	0.0015907
704	35	0.0368312
705	9869 7	0.0001062
706	3034	0.0012419
707	40	0.0081678
708	13	0.0805928
709	35	0.0368312
710	5921 2785	1.93e-05
711	25	0.0176508
712	35	0.0368312
713	828	0.0021718
714	659 19	0.0002711
715	7333 6	0.0001932
716	1395 89	0.0007241
717	103	0.0137207
718	38	0.0296922
719	4442	0.0042939
720	26	0.0073
721	1141 38	0.0024155
722	10716 2175	0.0006753
723	17	0.0991156
724	18207 610	6e-05
725	18	0.09593
726	1643 96	3.15e-05
727	2042	1.06e-05
728	16930 8	0.0001059
729	430 8	0.000788
730	902	0.0050002
731	9871 2302	4.64e-05
732	6888 2656	4.89e-05
733	1447 8	0.0005938
734	1	0.0266844
735	1253 23	0.0008094
736	90	0.0180512
737	1	0.0266844
738	7	0.133382
739	95	0.0110695
740	1112 15	0.0001568
741	3165 1849	0.0002475
742	28	0.0705726
743	7	0.133382
744	40925 23	5.11e-05
745	15487 163	0.0002094
746	1972	0.0006224
747	90	0.0180512
748	933	0.0050898
749	4	0.113336
750	2256 12	0.0025076
751	784 5	0.0003825
752	38	0.0296922
753	79812 4227	1.86e-05
754	10	0.028769
755	20179 8963	0.0003111
756	11368	4.08e-05
757	659	0.0034072
758	336	0.0145691
759	100	0.0508944
760	14482 2551	3.51e-05
761	6050	0.0027672
762	358	0.0027399
763	2982	0.0037873
764	3076 23	0.0016273
765	7995	0.0004703
766	125639	1.61e-05
767	95	0.0110695
768	683 627	2e-05
769	938 490	0.0003749
770	1040 89	0.0012526
771	108757	1.48e-05
772	106	0.0203896
773	91	0.0236403
774	336	0.0145691
775	95	0.0110695
776	2012 637	0.0002353
777	29257	0.0002533
778	3642 3115	3.08e-05
779	2961	0.0018248
780	5647	0.0024526
781	2	0.0581971
782	3	0.0948589
783	902	0.0050002
784	35	0.0368312
785	93	0.0154208
786	45093	1.59e-05
787	1314	0.0011967
788	93	0.0154208
789	35	0.0368312
790	2012	0.0039267
791	90	0.0180512
792	9995 1445	2.95e-05
793	35	0.0368312
794	736	0.0027229
795	4324 3108	0.0001469
796	17410 357	0.0004367
797	65254 8664	4.14e-05
798	45093	1.59e-05
799	630	0.0045248
800	515	0.0058954
801	24994 20	5.26e-05
802	9570 98	0.000412
803	8	0.137973
804	1077 1002	8.63e-05
805	40	0.0081678
806	6728	0.0020468
807	13247 23	0.000568
808	1643 945	5.93e-05
809	19634 10303	1.94e-05
810	2620 29	0.0014459
811	18	0.09593
812	95	0.0110695
813	10507	0.0006523
814	1901 23	0.0017769
815	9649 4440	2.63e-05
816	22152	8.22e-05
817	739 17	0.0001418
818	1077 19	0.000349
819	0	0.0097939
820	2704	0.0007201
821	91	0.0236403
822	58830 8661	2.15e-05
823	100	0.0508944
824	3881 2097	2.43e-05
825	1926 29	0.0008457
826	133084 95414	1.03e-05
827	2003	0.0030073
828	3384 2179	0.0002603
829	814 23	0.0017584
830	2106	0.0002633
831	8636 464	0.0008596
832	28	0.0705726
833	12975 8640	6.83e-05
834	103	0.0137207
835	19	0.0869037
836	8031	0.0022443
837	3040 23	0.0011909
838	35	0.0368312
839	2889	0.0006678
840	29197	6.85e-05
841	17988 9	6.52e-05
842	7118	0.0021016
843	89	0.170741
844	12340 6966	0.0001298
845	93	0.0154208
846	3588 4	0.0004052
847	4333 549	0.0003261
848	1689 98	0.0002942
849	7787 2346	4.47e-05
850	4	0.113336
851	17	0.0991156
852	93	0.0154208
853	2783	0.0005935
854	26	0.0073
855	6562	0.002253
856	5893	0.0033992
857	100	0.0508944
858	19	0.0869037
859	1268	0.00545
860	7671 705	4.24e-05
861	117	0.0041042
862	93	0.0154208
863	35	0.0368312
864	0	0.0097939
865	95	0.0110695
866	3018 38	2.31e-05
867	60012	1.49e-05
868	345	0.034881
869	93	0.0154208
870	8347 5	0.000125
871	3561 9	0.000156
872	100	0.0508944
873	3200 1849	0.000181
874	8658 3687	0.0006248
875	42658 8643	2.22e-05
876	13116 497	7.91e-05
877	3192	0.0045015
878	2	0.0581971
879	19892 11502	0.0001127
880	593	0.0024908
881	3296 1643	5.9e-05
882	17	0.0991156
883	1155 810	0.0002886
884	345	0.034881
885	8507 600	2.28e-05
886	747 100	0.0006241
887	26	0.0073
888	91	0.0236403
889	106	0.0203896
890	5518 90	0.0001118
891	747 23	0.0019873
892	35823 22604	6e-05
893	107	0.0105398
894	10399 3619	1.85e-05
895	753	0.0037139
896	100	0.0508944
897	12203	0.0006891
898	4594 23	0.0002298
899	2006	0.0054106
900	90	0.0180512
901	34800	9.86e-05
902	93	0.0154208
903	2003 9	0.0002737
904	8650 7248	0.0001381
905	345	0.034881
906	3950 2325	4.01e-05
907	90475	9.7e-06
908	2966 497	0.0001698
909	7248 9	0.0002815
910	91	0.0236403
911	35	0.0368312
912	1634 89	0.001506
913	349	0.0052017
914	1315	0.0027095
915	17026 5395	3.66e-05
916	89	0.170741
917	3675 1488	9.43e-05
918	0	0.0097939
919	2370	0.0045539
920	449 14	0.0002415
921	18933	2.63e-05
922	95	0.0110695
923	107	0.0105398
924	93	0.0154208
925	3523 14	0.0002639
926	1	0.0266844
927	3075	0.0035798
928	1629	0.0047872
929	79437	1.15e-05
930	44853	9.5e-06
931	750	0.0044588
932	8	0.137973
933	0	0.0097939
934	7085 968	0.0008743
935	876 16	0.0002183
936	2	0.0581971
937	10801 8074	8.16e-05
938	95	0.0110695
939	4966 29	0.0006039
940	345	0.034881
941	1056 18	0.0002724
942	33358 4808	4.51e-05
943	8	0.137973
944	40	0.0081678
945	635	0.0047455
946	553 6	0.0005368
947	10	0.028769
948	7405 1952	0.0002332
949	8	0.137973
950	515	0.0058954
951	2441 7	0.0002674
952	8601 4799	1.93e-05
953	12	0.0648527
954	2378 1634	0.0002992
955	125510	1.02e-05
956	3908 1837	4.83e-05
957	337	0.0063807
958	4011 2930	2.51e-05
959	6266 1849	0.0002173
960	339	0.0080063
961	35	0.0368312
962	932	0.0053541
963	8	0.137973
964	42634	7.4e-06
965	93	0.0154208
966	8	0.137973
967	901 538	0.0001445
968	6255 610	0.0004657
969	18203 29	2.06e-05
970	3978	0.0026915
971	106273	1.45e-05
972	10278 28	2.25e-05
973	345	0.034881
974	3129 747	2.84e-05
975	2495 1	0.0001205
976	17	0.0991156
977	17	0.0991156
978	35	0.0368312
979	40	0.0081678
980	1830 20	0.0001938
981	1636	0.0004879
982	95	0.0110695
983	2006 648	0.0003303
984	28	0.0705726
985	95	0.0110695
986	19573 1597	2.88e-05
987	35	0.0368312
988	2982 7	0.0006575
989	14910 23	0.000505
990	142	0.0086892
991	35	0.0368312
992	336	0.0145691
993	5452 15	9.25e-05
994	1050 358	0.0001234
995	2241 120	0.0012268
996	3297 924	0.0002197
997	29	0.191599
998	5744 2694	0.000135
999	893 22	0.0002655
1000	8148 19	0.0001555
1001	16	0.0909268
1002	31704	1.57e-05
1003	2966 558	0.0002723
1004	86044	1.18e-05
1005	1849	0.0034925
1006	5	0.123527
1007	5683 14	5.11e-05
1008	11141 11139	0.0001053
1009	142	0.0086892
1010	17106 11808	1.18e-05
1011	5946 89	0.0001295
1012	38	0.0296922
1013	2917 605	3.41e-05
1014	1548	0.004679
1015	906 490	0.0002746
1016	35	0.0368312
1017	1615	0.0049417
1018	100	0.0508944
1019	35	0.0368312
1020	5763	0.000641
1021	7932 814	3.48e-05
1022	58978	1.53e-05
1023	103	0.0137207
1024	142	0.0086892
1025	98	0.0180067
1026	2656 29	0.0011625
1027	135029	1.41e-05
1028	0	0.0097939
1029	8151 8147	2.69e-05
1030	4860 4	0.0006274
1031	4052 1119	0.0008269
1032	1225	0.0051101
1033	104261	1.72e-05
1034	91	0.0236403
1035	90	0.0180512
1036	1	0.0266844
1037	1985	0.0055809
1038	35	0.0368312
1039	3165 1952	0.0002394
1040	17	0.0991156
1041	1313	0.0029545
1042	19	0.0869037
1043	14208 1905	2.34e-05
1044	346	0.0037554
1045	90	0.0180512
1046	13	0.0805928
1047	2656	0.0052612
1048	16684	2.42e-05
1049	26770	8.37e-05
1050	8	0.137973
1051	91	0.0236403
1052	590	0.0038276
1053	17	0.0991156
1054	1315	0.0027095
1055	35	0.0368312
1056	2819	0.001195
1057	26407	1.81e-05
1058	91	0.0236403
1059	8228 3773	0.0002725
1060	95	0.0110695
1061	26348	1.12e-05
1062	1253 4	0.0002637
1063	1024	0.0033261
1064	5712	0.0007331
1065	89	0.170741
1066	24302	0.0001928
1067	9336 3271	2.7e-05
1068	7935 2006	9.7e-05
1069	2	0.0581971
1070	2072 23	0.0015229
1071	2304	0.0004853
1072	13	0.0805928
1073	848 21	0.0002424
1074	10053	0.0013267
1075	20	0.0851688
1076	1985	0.0055809
1077	1287 91	0.0023571
1078	32879	2.83e-05
1079	662 635	9.15e-05
1080	4481 3105	0.0005326
1081	1175 7	0.0007276
1082	10899 8639	0.0002449
1083	4214	0.0004378
1084	0	0.0097939
1085	3200 810	0.0002123
1086	2969 345	5e-05
1087	1347 820	0.0002262
1088	40	0.0081678
1089	120745	1.28e-05
1090	341	0.003288
1091	68189 27305	1.1e-05
1092	938 410	0.0002046
1093	2257 449	0.0001964
1094	15514	0.0001176
1095	38	0.0296922
1096	538	0.0033303
1097	115471	1.19e-05
1098	142	0.0086892
1099	35	0.0368312
1100	40	0.0081678
1101	348	0.006714
1102	35	0.0368312
1103	8667 29	0.0007416
1104	4449 23	0.0016862
1105	1985	0.0055809
1106	2559 8	0.0003039
1107	38	0.0296922
1108	93	0.0154208
1109	5	0.123527
1110	3642 901	4.52e-05
1111	2439 6	0.0005524
1112	1155 604	0.0004522
1113	2955 2922	4.35e-05
1114	14	0.0863883
1115	5518 928	0.0001504
1116	4570 1	3.58e-05
1117	107	0.0105398
1118	12994 8628	5.21e-05
1119	29943	2.75e-05
1120	10	0.028769
1121	35	0.0368312
1122	15539	0.0010174
1123	3142 23	0.0010915
1124	45953 8663	2.96e-05
1125	345	0.034881
1126	10101 363	0.0001384
1127	11491 7	0.0004414
1128	90	0.0180512
1129	8230 2212	0.0007307
1130	345	0.034881
1131	85439	1.88e-05
1132	2262 89	0.000155
1133	40	0.0081678
1134	76784	1.4e-05
1135	38	0.0296922
1136	7935 29	0.0003934
1137	716	0.0019711
1138	337	0.0063807
1139	46	0.0028123
1140	9861 1893	2.24e-05
1141	4312	0.0011708
1142	2	0.0581971
1143	37534	1.42e-05
1144	7192 6	7.54e-05
1145	95	0.0110695
1146	1433	0.0048384
1147	107591	1.02e-05
1148	10027	0.0005547
1149	4361	0.0015426
1150	1507 5	0.0002284
1151	3797	0.0002553
1152	1473 600	0.000424
1153	8655 7182	5.08e-05
1154	73791	1.3e-05
1155	28	0.0705726
1156	134830	1.07e-05
1157	2938	0.0023649
1158	492 6	0.0003708
1159	1783 851	2.01e-05
1160	52581	8.6e-06
1161	851 8	0.0005756
1162	3593	0.0046015
1163	4	0.113336
1164	26	0.0073
1165	2	0.0581971
1166	1363	0.0039114
1167	9630 4863	0.0001847
1168	5933 2694	2.99e-05
1169	35	0.0368312
1170	4371 8	0.0001122
1171	28	0.0705726
1172	1952 652	0.0003797
1173	89	0.170741
1174	23142 6614	5.26e-05
1175	16	0.0909268
1176	515	0.0058954
1177	5348 650	0.0001134
1178	38	0.0296922
1179	79164 8621	2.34e-05
1180	46336	1.16e-05
1181	2495	0.0048589
1182	90	0.0180512
1183	10	0.028769
1184	370	0.0031146
1185	1027	0.0048896
1186	5524 4324	5.94e-05
